Train_size;Center_size;Kernel;Points_distribution;Best_epoch;Linf_Loss;Poly_degree;Trained_shapes;Trained_centers;Starting_shape;Trained_coefficients
15;5;gaussian_kernel;Equi;46484;5.8236648328602314e-05;-1;9.678768493091512e-42, -6.642154720899633e-43, 0.46733105182647705, 0.6942950487136841, 0.6549794673919678;0.880315899848938, -0.6976614594459534, 0.3295964002609253, -0.3780055046081543, 1.3041155338287354;1;
15;5;gaussian_kernel;Equi;49597;0.0005392730236053467;-1;0.2099781483411789, 1.6890908810518468e-11, 0.20997735857963562, 2.382207389352189e-44, 5.258627446658821e-15;0.5000038146972656, 0.4472740888595581, 0.5000038743019104, 0.42473897337913513, 0.5744980573654175;1;
15;5;gaussian_kernel;Equi;48215;5.53064419364091e-05;-1;0.6715360879898071, 9.337131927489121e-41, -8.34403279434924e-14, 0.4735833704471588, 0.6804299354553223;-0.3454919457435608, 1.3981274366378784, -0.10120166838169098, 0.5282731652259827, 1.3631927967071533;1;
15;5;gaussian_kernel;Equi;49762;1.00341894722078e-05;-1;0.7897600531578064, 1.4456887245178223, 0.8029994964599609, 1.4395467042922974, -7.939574683435522e-36;0.49144598841667175, -0.40947648882865906, 0.5048270225524902, 1.409417748451233, 0.21069400012493134;1;
15;5;gaussian_kernel;Equi;36876;0.0005916889058426023;-1;7.731836004776227e-12, 1.1378218518756893e-35, 0.20925047993659973, 0.20925050973892212, -4.515558184424934e-40;0.42419230937957764, 0.5819044709205627, 0.500032901763916, 0.5000329613685608, 0.44647666811943054;1;
15;5;gaussian_kernel;Equi;49594;5.900859832763672e-05;-1;0.469157338142395, 4.2249598011732836e-36, 0.6881304383277893, 4.011917503361951e-42, 0.6620744466781616;0.4053032398223877, 0.1498222053050995, -0.3733397424221039, 1.1643946170806885, 1.322763204574585;1;
15;5;gaussian_kernel;Equi;48906;0.00040592998266220093;-1;-4.203895392974451e-45, 0.2115653157234192, -1.4901541092131109e-27, 0.21156828105449677, 0.2115613967180252;0.4665106534957886, 0.5000223517417908, 0.5297334790229797, 0.5000187158584595, 0.5000268220901489;1;
15;5;gaussian_kernel;Equi;49261;5.511194467544556e-05;-1;0.67202228307724, 0.4743461012840271, 1.530602128793267e-29, 0.6816369295120239, 2.4945077973940966e-27;-0.3420034348964691, 0.5306032299995422, -0.2928389310836792, 1.3614174127578735, 1.4814887046813965;1;
15;5;gaussian_kernel;Equi;40554;0.0007571876049041748;-1;0.21026921272277832, 0.21026888489723206, 9.528829557408756e-44, 0.2102702558040619, -5.7767929328989e-11;0.5000043511390686, 0.5000105500221252, 0.6677241921424866, 0.4999889135360718, 0.575367271900177;1;
15;5;gaussian_kernel;Equi;49458;6.0730242694262415e-05;-1;0.6929201483726501, -3.454200714560674e-42, 0.6597514152526855, 0.4703642725944519, -1.034158266671715e-42;-0.3739592134952545, -0.4667835831642151, 1.3114415407180786, 0.36588943004608154, 1.2077553272247314;1;
